# File created by:- track1
# Date:- 17/4/2009
# Source Name :- 3C48
#Time     Inner(AZ)  Outer(AZ)  Elevation 

 07:22:35  -119.173   240.827  20.967
 07:23:05  -119.154   240.846  21.071
 07:23:35  -119.135   240.865  21.174
 07:24:05  -119.116   240.884  21.278
 07:24:35  -119.098   240.902  21.381
 07:25:05  -119.080   240.920  21.485
 07:25:35  -119.061   240.939  21.588
 07:26:05  -119.043   240.957  21.692
 07:26:35  -119.025   240.975  21.795
 07:27:05  -119.007   240.993  21.899
 07:27:35  -118.989   241.011  22.003
 07:28:05  -118.971   241.029  22.106
 07:28:35  -118.954   241.046  22.210
 07:29:05  -118.936   241.064  22.313
 07:29:35  -118.919   241.081  22.417
 07:30:05  -118.901   241.099  22.521
 07:30:35  -118.884   241.116  22.624
 07:31:05  -118.867   241.133  22.728
 07:31:35  -118.850   241.150  22.832
 07:32:05  -118.833   241.167  22.936
 07:32:35  -118.816   241.184  23.039
 07:33:05  -118.800   241.200  23.143
 07:33:35  -118.783   241.217  23.247
 07:34:05  -118.767   241.233  23.351
 07:34:35  -118.750   241.250  23.455
 07:35:05  -118.734   241.266  23.559
 07:35:35  -118.718   241.282  23.662
 07:36:05  -118.702   241.298  23.766
 07:36:35  -118.686   241.314  23.870
 07:37:05  -118.670   241.330  23.974
 07:37:35  -118.654   241.346  24.078
 07:38:05  -118.639   241.361  24.182
 07:38:35  -118.623   241.377  24.286
 07:39:05  -118.608   241.392  24.390
 07:39:35  -118.593   241.407  24.494
 07:40:05  -118.578   241.422  24.598
 07:40:35  -118.563   241.437  24.702
 07:41:05  -118.548   241.452  24.806
 07:41:35  -118.533   241.467  24.910
 07:42:05  -118.518   241.482  25.014
 07:42:35  -118.504   241.496  25.118
 07:43:05  -118.489   241.511  25.222
 07:43:35  -118.475   241.525  25.326
 07:44:05  -118.461   241.539  25.430
 07:44:35  -118.447   241.553  25.535
 07:45:05  -118.433   241.567  25.639
 07:45:35  -118.419   241.581  25.743
 07:46:05  -118.405   241.595  25.847
 07:46:35  -118.391   241.609  25.951
 07:47:05  -118.378   241.622  26.055
 07:47:35  -118.364   241.636  26.160
 07:48:05  -118.351   241.649  26.264
 07:48:35  -118.338   241.662  26.368
 07:49:05  -118.325   241.675  26.472
 07:49:35  -118.312   241.688  26.577
 07:50:05  -118.299   241.701  26.681
 07:50:35  -118.286   241.714  26.785
 07:51:05  -118.273   241.727  26.890
 07:51:35  -118.261   241.739  26.994
 07:52:05  -118.249   241.751  27.098
 07:52:35  -118.236   241.764  27.203
 07:53:05  -118.224   241.776  27.307
 07:53:35  -118.212   241.788  27.411
 07:54:05  -118.200   241.800  27.516
 07:54:35  -118.188   241.812  27.620
 07:55:05  -118.177   241.823  27.724
 07:55:35  -118.165   241.835  27.829
 07:56:05  -118.154   241.846  27.933
 07:56:35  -118.142   241.858  28.038
 07:57:05  -118.131   241.869  28.142
 07:57:35  -118.120   241.880  28.247
 07:58:05  -118.109   241.891  28.351
 07:58:35  -118.098   241.902  28.456
 07:59:05  -118.088   241.912  28.560
 07:59:35  -118.077   241.923  28.665
 08:00:05  -118.066   241.934  28.769
 08:00:35  -118.056   241.944  28.874
 08:01:05  -118.046   241.954  28.978
 08:01:35  -118.036   241.964  29.083
 08:02:05  -118.026   241.974  29.187
 08:02:35  -118.016   241.984  29.292
 08:03:05  -118.006   241.994  29.396
 08:03:35  -117.997   242.003  29.501
 08:04:05  -117.987   242.013  29.605
 08:04:35  -117.978   242.022  29.710
 08:05:05  -117.968   242.032  29.815
 08:05:35  -117.959   242.041  29.919
 08:06:05  -117.950   242.050  30.024
 08:06:35  -117.941   242.059  30.129
 08:07:05  -117.933   242.067  30.233
 08:07:35  -117.924   242.076  30.338
 08:08:05  -117.916   242.084  30.442
 08:08:35  -117.907   242.093  30.547
 08:09:05  -117.899   242.101  30.652
 08:09:35  -117.891   242.109  30.756
 08:10:05  -117.883   242.117  30.861
 08:10:35  -117.875   242.125  30.966
 08:11:05  -117.867   242.133  31.071
 08:11:35  -117.860   242.140  31.175
 08:12:05  -117.852   242.148  31.280
 08:12:35  -117.845   242.155  31.385
 08:13:05  -117.838   242.162  31.489
 08:13:35  -117.831   242.169  31.594
 08:14:05  -117.824   242.176  31.699
 08:14:35  -117.817   242.183  31.804
 08:15:05  -117.810   242.190  31.908
 08:15:35  -117.804   242.196  32.013
 08:16:05  -117.797   242.203  32.118
 08:16:35  -117.791   242.209  32.223
 08:17:05  -117.785   242.215  32.328
 08:17:35  -117.779   242.221  32.432
 08:18:05  -117.773   242.227  32.537
 08:18:35  -117.767   242.233  32.642
 08:19:05  -117.762   242.238  32.747
 08:19:35  -117.756   242.244  32.852
 08:20:05  -117.751   242.249  32.956
 08:20:35  -117.746   242.254  33.061
 08:21:05  -117.741   242.259  33.166
 08:21:35  -117.736   242.264  33.271
 08:22:05  -117.731   242.269  33.376
 08:22:35  -117.726   242.274  33.481
 08:23:05  -117.722   242.278  33.585
 08:23:35  -117.717   242.283  33.690
 08:24:05  -117.713   242.287  33.795
 08:24:35  -117.709   242.291  33.900
 08:25:05  -117.705   242.295  34.005
 08:25:35  -117.701   242.299  34.110
 08:26:05  -117.698   242.302  34.214
 08:26:35  -117.694   242.306  34.319
 08:27:05  -117.691   242.309  34.424
 08:27:35  -117.688   242.312  34.529
 08:28:05  -117.685   242.315  34.634
 08:28:35  -117.682   242.318  34.739
 08:29:05  -117.679   242.321  34.844
 08:29:35  -117.676   242.324  34.949
 08:30:05  -117.674   242.326  35.054
 08:30:35  -117.671   242.329  35.158
 08:31:05  -117.669   242.331  35.263
 08:31:35  -117.667   242.333  35.368
 08:32:05  -117.665   242.335  35.473
 08:32:35  -117.663   242.337  35.578
 08:33:05  -117.662   242.338  35.683
 08:33:35  -117.660   242.340  35.788
 08:34:05  -117.659   242.341  35.893
 08:34:35  -117.658   242.342  35.998
 08:35:05  -117.657   242.343  36.103
 08:35:35  -117.656   242.344  36.207
 08:36:05  -117.655   242.345  36.312
 08:36:35  -117.655   242.345  36.417
 08:37:05  -117.655   242.345  36.522
 08:37:35  -117.654   242.346  36.627
 08:38:05  -117.654   242.346  36.732
 08:38:35  -117.654   242.346  36.837
 08:39:05  -117.655   242.345  36.942
 08:39:35  -117.655   242.345  37.047
 08:40:05  -117.656   242.344  37.152
 08:40:35  -117.656   242.344  37.257
 08:41:05  -117.657   242.343  37.362
 08:41:35  -117.658   242.342  37.466
 08:42:05  -117.659   242.341  37.571
 08:42:35  -117.661   242.339  37.676
 08:43:05  -117.662   242.338  37.781
 08:43:35  -117.664   242.336  37.886
 08:44:05  -117.666   242.334  37.991
 08:44:35  -117.668   242.332  38.096
 08:45:05  -117.670   242.330  38.201
 08:45:35  -117.672   242.328  38.306
 08:46:05  -117.675   242.325  38.411
 08:46:35  -117.678   242.322  38.515
 08:47:05  -117.680   242.320  38.620
 08:47:35  -117.683   242.317  38.725
 08:48:05  -117.687   242.313  38.830
 08:48:35  -117.690   242.310  38.935
 08:49:05  -117.694   242.306  39.040
 08:49:35  -117.697   242.303  39.145
 08:50:05  -117.701   242.299  39.250
 08:50:35  -117.705   242.295  39.354
 08:51:05  -117.709   242.291  39.459
 08:51:35  -117.714   242.286  39.564
 08:52:05  -117.718   242.282  39.669
 08:52:35  -117.723   242.277  39.774
 08:53:05  -117.728   242.272  39.879
 08:53:35  -117.733   242.267  39.984
 08:54:05  -117.739   242.261  40.088
 08:54:35  -117.744   242.256  40.193
 08:55:05  -117.750   242.250  40.298
 08:55:35  -117.756   242.244  40.403
 08:56:05  -117.762   242.238  40.508
 08:56:35  -117.768   242.232  40.612
 08:57:05  -117.774   242.226  40.717
 08:57:35  -117.781   242.219  40.822
 08:58:05  -117.788   242.212  40.927
 08:58:35  -117.794   242.206  41.032
 08:59:05  -117.802   242.198  41.136
 08:59:35  -117.809   242.191  41.241
 09:00:05  -117.817   242.183  41.346
 09:00:35  -117.824   242.176  41.451
 09:01:05  -117.832   242.168  41.555
